LS-DYNA keyword deck by LS-PrePost,Rcforc Data
Time,Ma 373 X-force,Time,Ma 373 Y-force,Time,Ma 373 Z-force,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    1.0995699558e-03,    0.0000000000e+00,    1.0995699558e-03,    0.0000000000e+00,    1.0995699558e-03,    0.0000000000e+00,
    2.1999799646e-03,    0.0000000000e+00,    2.1999799646e-03,    0.0000000000e+00,    2.1999799646e-03,    0.0000000000e+00,
    3.2995599322e-03,    0.0000000000e+00,    3.2995599322e-03,    0.0000000000e+00,    3.2995599322e-03,    0.0000000000e+00,
    4.3996497989e-03,    0.0000000000e+00,    4.3996497989e-03,    0.0000000000e+00,    4.3996497989e-03,    0.0000000000e+00,
    5.4990299977e-03,    0.0000000000e+00,    5.4990299977e-03,    0.0000000000e+00,    5.4990299977e-03,    0.0000000000e+00,
    6.5992400050e-03,    0.0000000000e+00,    6.5992400050e-03,    0.0000000000e+00,    6.5992400050e-03,    0.0000000000e+00,
    7.6989298686e-03,    0.0000000000e+00,    7.6989298686e-03,    0.0000000000e+00,    7.6989298686e-03,    0.0000000000e+00,
    8.7997000664e-03,    0.0000000000e+00,    8.7997000664e-03,    0.0000000000e+00,    8.7997000664e-03,    0.0000000000e+00,
    9.8998397589e-03,    0.0000000000e+00,    9.8998397589e-03,    0.0000000000e+00,    9.8998397589e-03,    0.0000000000e+00,
    1.0999999940e-02,    0.0000000000e+00,    1.0999999940e-02,    0.0000000000e+00,    1.0999999940e-02,    0.0000000000e+00,
    1.2099700049e-02,    0.0000000000e+00,    1.2099700049e-02,    0.0000000000e+00,    1.2099700049e-02,    0.0000000000e+00,
    1.3199400157e-02,    0.0000000000e+00,    1.3199400157e-02,    0.0000000000e+00,    1.3199400157e-02,    0.0000000000e+00,
    1.4299700037e-02,    0.0000000000e+00,    1.4299700037e-02,    0.0000000000e+00,    1.4299700037e-02,    0.0000000000e+00,
    1.5399600379e-02,    0.0000000000e+00,    1.5399600379e-02,    0.0000000000e+00,    1.5399600379e-02,    0.0000000000e+00,
    1.6499200836e-02,    0.0000000000e+00,    1.6499200836e-02,    0.0000000000e+00,    1.6499200836e-02,    0.0000000000e+00,
