LS-DYNA keyword deck by LS-PrePost,Rcforc Data
Time,Ma 373 X-force,Time,Ma 373 Y-force,Time,Ma 373 Z-force,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    1.0987400310e-03,    0.0000000000e+00,    1.0987400310e-03,    0.0000000000e+00,    1.0987400310e-03,    0.0000000000e+00,
    2.1992400289e-03,    0.0000000000e+00,    2.1992400289e-03,    0.0000000000e+00,    2.1992400289e-03,    0.0000000000e+00,
    3.2994700596e-03,    0.0000000000e+00,    3.2994700596e-03,    0.0000000000e+00,    3.2994700596e-03,    0.0000000000e+00,
    4.3993098661e-03,    0.0000000000e+00,    4.3993098661e-03,    0.0000000000e+00,    4.3993098661e-03,    0.0000000000e+00,
    5.4982001893e-03,    0.0000000000e+00,    5.4982001893e-03,    0.0000000000e+00,    5.4982001893e-03,    0.0000000000e+00,
    6.5989699215e-03,    0.0000000000e+00,    6.5989699215e-03,    0.0000000000e+00,    6.5989699215e-03,    0.0000000000e+00,
    7.6982001774e-03,    0.0000000000e+00,    7.6982001774e-03,    0.0000000000e+00,    7.6982001774e-03,    0.0000000000e+00,
    8.7984595448e-03,    0.0000000000e+00,    8.7984595448e-03,    0.0000000000e+00,    8.7984595448e-03,    0.0000000000e+00,
    9.8992399871e-03,    0.0000000000e+00,    9.8992399871e-03,    0.0000000000e+00,    9.8992399871e-03,    0.0000000000e+00,
    1.0999299586e-02,    0.0000000000e+00,    1.0999299586e-02,    0.0000000000e+00,    1.0999299586e-02,    0.0000000000e+00,
    1.2098499574e-02,    0.0000000000e+00,    1.2098499574e-02,    0.0000000000e+00,    1.2098499574e-02,    0.0000000000e+00,
    1.3197899796e-02,    0.0000000000e+00,    1.3197899796e-02,    0.0000000000e+00,    1.3197899796e-02,    0.0000000000e+00,
    1.4298999682e-02,    0.0000000000e+00,    1.4298999682e-02,    0.0000000000e+00,    1.4298999682e-02,    0.0000000000e+00,
    1.5399799682e-02,    0.0000000000e+00,    1.5399799682e-02,    0.0000000000e+00,    1.5399799682e-02,    0.0000000000e+00,
    1.6498800367e-02,    0.0000000000e+00,    1.6498800367e-02,    0.0000000000e+00,    1.6498800367e-02,    0.0000000000e+00,
    1.7598699778e-02,    0.0000000000e+00,    1.7598699778e-02,    0.0000000000e+00,    1.7598699778e-02,    0.0000000000e+00,
    1.8699700013e-02,    0.0000000000e+00,    1.8699700013e-02,    0.0000000000e+00,    1.8699700013e-02,    0.0000000000e+00,
    1.9798299298e-02,    0.0000000000e+00,    1.9798299298e-02,    0.0000000000e+00,    1.9798299298e-02,    0.0000000000e+00,
    2.0899700001e-02,    0.0000000000e+00,    2.0899700001e-02,    0.0000000000e+00,    2.0899700001e-02,    0.0000000000e+00,
    2.1998800337e-02,    0.0000000000e+00,    2.1998800337e-02,    0.0000000000e+00,    2.1998800337e-02,    0.0000000000e+00,
    2.3098800331e-02,    0.0000000000e+00,    2.3098800331e-02,    0.0000000000e+00,    2.3098800331e-02,    0.0000000000e+00,
    2.4199500680e-02,    0.0000000000e+00,    2.4199500680e-02,    0.0000000000e+00,    2.4199500680e-02,    0.0000000000e+00,
    2.5298200548e-02,    0.0000000000e+00,    2.5298200548e-02,    0.0000000000e+00,    2.5298200548e-02,    0.0000000000e+00,
    2.6398599148e-02,    0.0000000000e+00,    2.6398599148e-02,    0.0000000000e+00,    2.6398599148e-02,    0.0000000000e+00,
    2.7498900890e-02,    0.0000000000e+00,    2.7498900890e-02,    0.0000000000e+00,    2.7498900890e-02,    0.0000000000e+00,
    2.8599400073e-02,    0.0000000000e+00,    2.8599400073e-02,    0.0000000000e+00,    2.8599400073e-02,    0.0000000000e+00,
    2.9698800296e-02,    0.0000000000e+00,    2.9698800296e-02,    0.0000000000e+00,    2.9698800296e-02,    0.0000000000e+00,
    3.0798500404e-02,    0.0000000000e+00,    3.0798500404e-02,    0.0000000000e+00,    3.0798500404e-02,    0.0000000000e+00,
    3.1899299473e-02,    0.0000000000e+00,    3.1899299473e-02,    0.0000000000e+00,    3.1899299473e-02,    0.0000000000e+00,
    3.2998401672e-02,    0.0000000000e+00,    3.2998401672e-02,    0.0000000000e+00,    3.2998401672e-02,    0.0000000000e+00,
    3.4098301083e-02,    0.0000000000e+00,    3.4098301083e-02,    0.0000000000e+00,    3.4098301083e-02,    0.0000000000e+00,
    3.5198099911e-02,    0.0000000000e+00,    3.5198099911e-02,    0.0000000000e+00,    3.5198099911e-02,    0.0000000000e+00,
    3.6299798638e-02,    0.0000000000e+00,    3.6299798638e-02,    0.0000000000e+00,    3.6299798638e-02,    0.0000000000e+00,
    3.7399999797e-02,    0.0000000000e+00,    3.7399999797e-02,    0.0000000000e+00,    3.7399999797e-02,    0.0000000000e+00,
    3.8498699665e-02,    0.0000000000e+00,    3.8498699665e-02,    0.0000000000e+00,    3.8498699665e-02,    0.0000000000e+00,
    3.9598800242e-02,    0.0000000000e+00,    3.9598800242e-02,    0.0000000000e+00,    3.9598800242e-02,    0.0000000000e+00,
    4.0699601173e-02,    0.0000000000e+00,    4.0699601173e-02,    0.0000000000e+00,    4.0699601173e-02,    0.0000000000e+00,
