LS-DYNA keyword deck by LS-PrePost,Rcforc Data
Time,Ma 368 X-force,Time,Ma 368 Y-force,Time,Ma 368 Z-force,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    1.0991099989e-03,    0.0000000000e+00,    1.0991099989e-03,    0.0000000000e+00,    1.0991099989e-03,    0.0000000000e+00,
    2.1993299015e-03,    0.0000000000e+00,    2.1993299015e-03,    0.0000000000e+00,    2.1993299015e-03,    0.0000000000e+00,
    3.2982900739e-03,    0.0000000000e+00,    3.2982900739e-03,    0.0000000000e+00,    3.2982900739e-03,    0.0000000000e+00,
    4.3990002014e-03,    0.0000000000e+00,    4.3990002014e-03,    0.0000000000e+00,    4.3990002014e-03,    0.0000000000e+00,
    5.4984102026e-03,    0.0000000000e+00,    5.4984102026e-03,    0.0000000000e+00,    5.4984102026e-03,    0.0000000000e+00,
    6.5995198674e-03,    0.0000000000e+00,    6.5995198674e-03,    0.0000000000e+00,    6.5995198674e-03,    0.0000000000e+00,
    7.6994998381e-03,    0.0000000000e+00,    7.6994998381e-03,    0.0000000000e+00,    7.6994998381e-03,    0.0000000000e+00,
    8.7996795774e-03,    0.0000000000e+00,    8.7996795774e-03,    0.0000000000e+00,    8.7996795774e-03,    0.0000000000e+00,
    9.8987603560e-03,    0.0000000000e+00,    9.8987603560e-03,    0.0000000000e+00,    9.8987603560e-03,    0.0000000000e+00,
    1.0998399928e-02,    0.0000000000e+00,    1.0998399928e-02,    0.0000000000e+00,    1.0998399928e-02,    0.0000000000e+00,
    1.2099600397e-02,    0.0000000000e+00,    1.2099600397e-02,    0.0000000000e+00,    1.2099600397e-02,    0.0000000000e+00,
    1.3198999688e-02,    0.0000000000e+00,    1.3198999688e-02,    0.0000000000e+00,    1.3198999688e-02,    0.0000000000e+00,
    1.4299999923e-02,    0.0000000000e+00,    1.4299999923e-02,    0.0000000000e+00,    1.4299999923e-02,    0.0000000000e+00,
    1.5398900025e-02,    0.0000000000e+00,    1.5398900025e-02,    0.0000000000e+00,    1.5398900025e-02,    0.0000000000e+00,
    1.6498800367e-02,    0.0000000000e+00,    1.6498800367e-02,    0.0000000000e+00,    1.6498800367e-02,    0.0000000000e+00,
    1.7599299550e-02,    0.0000000000e+00,    1.7599299550e-02,    0.0000000000e+00,    1.7599299550e-02,    0.0000000000e+00,
    1.8699599430e-02,    0.0000000000e+00,    1.8699599430e-02,    0.0000000000e+00,    1.8699599430e-02,    0.0000000000e+00,
    1.9798500463e-02,    0.0000000000e+00,    1.9798500463e-02,    0.0000000000e+00,    1.9798500463e-02,    0.0000000000e+00,
    2.0899800584e-02,    0.0000000000e+00,    2.0899800584e-02,    0.0000000000e+00,    2.0899800584e-02,    0.0000000000e+00,
    2.1998099983e-02,    0.0000000000e+00,    2.1998099983e-02,    0.0000000000e+00,    2.1998099983e-02,    0.0000000000e+00,
    2.3099599406e-02,    0.0000000000e+00,    2.3099599406e-02,    0.0000000000e+00,    2.3099599406e-02,    0.0000000000e+00,
    2.4198699743e-02,    0.0000000000e+00,    2.4198699743e-02,    0.0000000000e+00,    2.4198699743e-02,    0.0000000000e+00,
    2.5298099965e-02,    0.0000000000e+00,    2.5298099965e-02,    0.0000000000e+00,    2.5298099965e-02,    0.0000000000e+00,
    2.6398299262e-02,    0.0000000000e+00,    2.6398299262e-02,    0.0000000000e+00,    2.6398299262e-02,    0.0000000000e+00,
    2.7499100193e-02,    0.0000000000e+00,    2.7499100193e-02,    0.0000000000e+00,    2.7499100193e-02,    0.0000000000e+00,
    2.8598500416e-02,    0.0000000000e+00,    2.8598500416e-02,    0.0000000000e+00,    2.8598500416e-02,    0.0000000000e+00,
    2.9698999599e-02,    0.0000000000e+00,    2.9698999599e-02,    0.0000000000e+00,    2.9698999599e-02,    0.0000000000e+00,
    3.0799899250e-02,    0.0000000000e+00,    3.0799899250e-02,    0.0000000000e+00,    3.0799899250e-02,    0.0000000000e+00,
    3.1899798661e-02,    0.0000000000e+00,    3.1899798661e-02,    0.0000000000e+00,    3.1899798661e-02,    0.0000000000e+00,
    3.2999299467e-02,    0.0000000000e+00,    3.2999299467e-02,    0.0000000000e+00,    3.2999299467e-02,    0.0000000000e+00,
    3.4098301083e-02,    0.0000000000e+00,    3.4098301083e-02,    0.0000000000e+00,    3.4098301083e-02,    0.0000000000e+00,
    3.5199098289e-02,    0.0000000000e+00,    3.5199098289e-02,    0.0000000000e+00,    3.5199098289e-02,    0.0000000000e+00,
    3.6298099905e-02,    0.0000000000e+00,    3.6298099905e-02,    0.0000000000e+00,    3.6298099905e-02,    0.0000000000e+00,
    3.7399198860e-02,    0.0000000000e+00,    3.7399198860e-02,    0.0000000000e+00,    3.7399198860e-02,    0.0000000000e+00,
    3.8499701768e-02,    0.0000000000e+00,    3.8499701768e-02,    0.0000000000e+00,    3.8499701768e-02,    0.0000000000e+00,
    3.9599899203e-02,    0.0000000000e+00,    3.9599899203e-02,    0.0000000000e+00,    3.9599899203e-02,    0.0000000000e+00,
    4.0699299425e-02,    0.0000000000e+00,    4.0699299425e-02,    0.0000000000e+00,    4.0699299425e-02,    0.0000000000e+00,
    4.1799299419e-02,    0.0000000000e+00,    4.1799299419e-02,    0.0000000000e+00,    4.1799299419e-02,    0.0000000000e+00,
    4.2898200452e-02,    0.0000000000e+00,    4.2898200452e-02,    0.0000000000e+00,    4.2898200452e-02,    0.0000000000e+00,
    4.3999299407e-02,    0.0000000000e+00,    4.3999299407e-02,    0.0000000000e+00,    4.3999299407e-02,    0.0000000000e+00,
    4.5098800212e-02,    0.0000000000e+00,    4.5098800212e-02,    0.0000000000e+00,    4.5098800212e-02,    0.0000000000e+00,
    4.6198200434e-02,    0.0000000000e+00,    4.6198200434e-02,    0.0000000000e+00,    4.6198200434e-02,    0.0000000000e+00,
    4.7299098223e-02,    0.0000000000e+00,    4.7299098223e-02,    0.0000000000e+00,    4.7299098223e-02,    0.0000000000e+00,
    4.8398498446e-02,    0.0000000000e+00,    4.8398498446e-02,    0.0000000000e+00,    4.8398498446e-02,    0.0000000000e+00,
    4.9498200417e-02,    0.0000000000e+00,    4.9498200417e-02,    0.0000000000e+00,    4.9498200417e-02,    0.0000000000e+00,
    5.0599098206e-02,    0.0000000000e+00,    5.0599098206e-02,    0.0000000000e+00,    5.0599098206e-02,    0.0000000000e+00,
    5.1699701697e-02,    0.0000000000e+00,    5.1699701697e-02,    0.0000000000e+00,    5.1699701697e-02,    0.0000000000e+00,
    5.2799098194e-02,    0.0000000000e+00,    5.2799098194e-02,    0.0000000000e+00,    5.2799098194e-02,    0.0000000000e+00,
    5.3898099810e-02,    0.0000000000e+00,    5.3898099810e-02,    0.0000000000e+00,    5.3898099810e-02,    0.0000000000e+00,
    5.4999001324e-02,    0.0000000000e+00,    5.4999001324e-02,    0.0000000000e+00,    5.4999001324e-02,    0.0000000000e+00,
    5.6098800153e-02,    0.0000000000e+00,    5.6098800153e-02,    0.0000000000e+00,    5.6098800153e-02,    0.0000000000e+00,
    5.7198401541e-02,    0.0000000000e+00,    5.7198401541e-02,    0.0000000000e+00,    5.7198401541e-02,    0.0000000000e+00,
    5.8299299330e-02,    0.0000000000e+00,    5.8299299330e-02,    0.0000000000e+00,    5.8299299330e-02,    0.0000000000e+00,
    5.9398699552e-02,    0.0000000000e+00,    5.9398699552e-02,    0.0000000000e+00,    5.9398699552e-02,    0.0000000000e+00,
    6.0498099774e-02,    0.0000000000e+00,    6.0498099774e-02,    0.0000000000e+00,    6.0498099774e-02,    0.0000000000e+00,
    6.1599798501e-02,    0.0000000000e+00,    6.1599798501e-02,    0.0000000000e+00,    6.1599798501e-02,    0.0000000000e+00,
    6.2698796391e-02,    0.0000000000e+00,    6.2698796391e-02,    0.0000000000e+00,    6.2698796391e-02,    0.0000000000e+00,
