LS-DYNA keyword deck by LS-PrePost,Rcforc Data
Time,Ma 368 X-force,Time,Ma 368 Y-force,Time,Ma 368 Z-force,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    1.0999799706e-03,    0.0000000000e+00,    1.0999799706e-03,    0.0000000000e+00,    1.0999799706e-03,    0.0000000000e+00,
    2.1996600553e-03,    0.0000000000e+00,    2.1996600553e-03,    0.0000000000e+00,    2.1996600553e-03,    0.0000000000e+00,
    3.2989000902e-03,    0.0000000000e+00,    3.2989000902e-03,    0.0000000000e+00,    3.2989000902e-03,    0.0000000000e+00,
    4.3997899629e-03,    0.0000000000e+00,    4.3997899629e-03,    0.0000000000e+00,    4.3997899629e-03,    0.0000000000e+00,
    5.4995999672e-03,    0.0000000000e+00,    5.4995999672e-03,    0.0000000000e+00,    5.4995999672e-03,    0.0000000000e+00,
    6.5990397707e-03,    0.0000000000e+00,    6.5990397707e-03,    0.0000000000e+00,    6.5990397707e-03,    0.0000000000e+00,
    7.6999198645e-03,    0.0000000000e+00,    7.6999198645e-03,    0.0000000000e+00,    7.6999198645e-03,    0.0000000000e+00,
    8.7997801602e-03,    0.0000000000e+00,    8.7997801602e-03,    0.0000000000e+00,    8.7997801602e-03,    0.0000000000e+00,
    9.8988097161e-03,    0.0000000000e+00,    9.8988097161e-03,    0.0000000000e+00,    9.8988097161e-03,    0.0000000000e+00,
    1.0999900289e-02,    0.0000000000e+00,    1.0999900289e-02,    0.0000000000e+00,    1.0999900289e-02,    0.0000000000e+00,
    1.2099799700e-02,    0.0000000000e+00,    1.2099799700e-02,    0.0000000000e+00,    1.2099799700e-02,    0.0000000000e+00,
    1.3199199922e-02,    0.0000000000e+00,    1.3199199922e-02,    0.0000000000e+00,    1.3199199922e-02,    0.0000000000e+00,
    1.4299600385e-02,    0.0000000000e+00,    1.4299600385e-02,    0.0000000000e+00,    1.4299600385e-02,    0.0000000000e+00,
    1.5399799682e-02,    0.0000000000e+00,    1.5399799682e-02,    0.0000000000e+00,    1.5399799682e-02,    0.0000000000e+00,
    1.6499100253e-02,    0.0000000000e+00,    1.6499100253e-02,    0.0000000000e+00,    1.6499100253e-02,    0.0000000000e+00,
    1.7599700019e-02,    0.0000000000e+00,    1.7599700019e-02,    0.0000000000e+00,    1.7599700019e-02,    0.0000000000e+00,
    1.8699599430e-02,    0.0000000000e+00,    1.8699599430e-02,    0.0000000000e+00,    1.8699599430e-02,    0.0000000000e+00,
    1.9799800590e-02,    0.0000000000e+00,    1.9799800590e-02,    0.0000000000e+00,    1.9799800590e-02,    0.0000000000e+00,
    2.0899200812e-02,    0.0000000000e+00,    2.0899200812e-02,    0.0000000000e+00,    2.0899200812e-02,    0.0000000000e+00,
    2.1999500692e-02,    0.0000000000e+00,    2.1999500692e-02,    0.0000000000e+00,    2.1999500692e-02,    0.0000000000e+00,
    2.3099999875e-02,    0.0000000000e+00,    2.3099999875e-02,    0.0000000000e+00,    2.3099999875e-02,    0.0000000000e+00,
    2.4199299514e-02,    0.0000000000e+00,    2.4199299514e-02,    0.0000000000e+00,    2.4199299514e-02,    0.0000000000e+00,
    2.5299200788e-02,    0.0000000000e+00,    2.5299200788e-02,    0.0000000000e+00,    2.5299200788e-02,    0.0000000000e+00,
    2.6399100199e-02,    0.0000000000e+00,    2.6399100199e-02,    0.0000000000e+00,    2.6399100199e-02,    0.0000000000e+00,
    2.7499800548e-02,    0.0000000000e+00,    2.7499800548e-02,    0.0000000000e+00,    2.7499800548e-02,    0.0000000000e+00,
    2.8599100187e-02,    0.0000000000e+00,    2.8599100187e-02,    0.0000000000e+00,    2.8599100187e-02,    0.0000000000e+00,
    2.9698900878e-02,    0.0000000000e+00,    2.9698900878e-02,    0.0000000000e+00,    2.9698900878e-02,    0.0000000000e+00,
    3.0799899250e-02,    0.0000000000e+00,    3.0799899250e-02,    0.0000000000e+00,    3.0799899250e-02,    0.0000000000e+00,
    3.1899601221e-02,    0.0000000000e+00,    3.1899601221e-02,    0.0000000000e+00,    3.1899601221e-02,    0.0000000000e+00,
    3.2999299467e-02,    0.0000000000e+00,    3.2999299467e-02,    0.0000000000e+00,    3.2999299467e-02,    0.0000000000e+00,
    3.4099001437e-02,    0.0000000000e+00,    3.4099001437e-02,    0.0000000000e+00,    3.4099001437e-02,    0.0000000000e+00,
    3.5198800266e-02,    0.0000000000e+00,    3.5198800266e-02,    0.0000000000e+00,    3.5198800266e-02,    0.0000000000e+00,
    3.6299701780e-02,    0.0000000000e+00,    3.6299701780e-02,    0.0000000000e+00,    3.6299701780e-02,    0.0000000000e+00,
    3.7399601191e-02,    0.0000000000e+00,    3.7399601191e-02,    0.0000000000e+00,    3.7399601191e-02,    0.0000000000e+00,
    3.8499500602e-02,    0.0000000000e+00,    3.8499500602e-02,    0.0000000000e+00,    3.8499500602e-02,    0.0000000000e+00,
    3.9599098265e-02,    0.0000000000e+00,    3.9599098265e-02,    0.0000000000e+00,    3.9599098265e-02,    0.0000000000e+00,
    4.0699798614e-02,    0.0000000000e+00,    4.0699798614e-02,    0.0000000000e+00,    4.0699798614e-02,    0.0000000000e+00,
    4.1798900813e-02,    0.0000000000e+00,    4.1798900813e-02,    0.0000000000e+00,    4.1798900813e-02,    0.0000000000e+00,
    4.2899899185e-02,    0.0000000000e+00,    4.2899899185e-02,    0.0000000000e+00,    4.2899899185e-02,    0.0000000000e+00,
    4.3999701738e-02,    0.0000000000e+00,    4.3999701738e-02,    0.0000000000e+00,    4.3999701738e-02,    0.0000000000e+00,
    4.5099299401e-02,    0.0000000000e+00,    4.5099299401e-02,    0.0000000000e+00,    4.5099299401e-02,    0.0000000000e+00,
    4.6199198812e-02,    0.0000000000e+00,    4.6199198812e-02,    0.0000000000e+00,    4.6199198812e-02,    0.0000000000e+00,
    4.7299098223e-02,    0.0000000000e+00,    4.7299098223e-02,    0.0000000000e+00,    4.7299098223e-02,    0.0000000000e+00,
    4.8399899155e-02,    0.0000000000e+00,    4.8399899155e-02,    0.0000000000e+00,    4.8399899155e-02,    0.0000000000e+00,
    4.9499299377e-02,    0.0000000000e+00,    4.9499299377e-02,    0.0000000000e+00,    4.9499299377e-02,    0.0000000000e+00,
    5.0598900765e-02,    0.0000000000e+00,    5.0598900765e-02,    0.0000000000e+00,    5.0598900765e-02,    0.0000000000e+00,
    5.1699500531e-02,    0.0000000000e+00,    5.1699500531e-02,    0.0000000000e+00,    5.1699500531e-02,    0.0000000000e+00,
    5.2798900753e-02,    0.0000000000e+00,    5.2798900753e-02,    0.0000000000e+00,    5.2798900753e-02,    0.0000000000e+00,
    5.3899899125e-02,    0.0000000000e+00,    5.3899899125e-02,    0.0000000000e+00,    5.3899899125e-02,    0.0000000000e+00,
    5.4999798536e-02,    0.0000000000e+00,    5.4999798536e-02,    0.0000000000e+00,    5.4999798536e-02,    0.0000000000e+00,
    5.6099601090e-02,    0.0000000000e+00,    5.6099601090e-02,    0.0000000000e+00,    5.6099601090e-02,    0.0000000000e+00,
    5.7199399918e-02,    0.0000000000e+00,    5.7199399918e-02,    0.0000000000e+00,    5.7199399918e-02,    0.0000000000e+00,
    5.8298800141e-02,    0.0000000000e+00,    5.8298800141e-02,    0.0000000000e+00,    5.8298800141e-02,    0.0000000000e+00,
    5.9399299324e-02,    0.0000000000e+00,    5.9399299324e-02,    0.0000000000e+00,    5.9399299324e-02,    0.0000000000e+00,
    6.0499701649e-02,    0.0000000000e+00,    6.0499701649e-02,    0.0000000000e+00,    6.0499701649e-02,    0.0000000000e+00,
    6.1599500477e-02,    0.0000000000e+00,    6.1599500477e-02,    0.0000000000e+00,    6.1599500477e-02,    0.0000000000e+00,
    6.2699697912e-02,    0.0000000000e+00,    6.2699697912e-02,    0.0000000000e+00,    6.2699697912e-02,    0.0000000000e+00,
    6.3799202442e-02,    0.0000000000e+00,    6.3799202442e-02,    0.0000000000e+00,    6.3799202442e-02,    0.0000000000e+00,
    6.4898997545e-02,    0.0000000000e+00,    6.4898997545e-02,    0.0000000000e+00,    6.4898997545e-02,    0.0000000000e+00,
    6.5999902785e-02,    0.0000000000e+00,    6.5999902785e-02,    0.0000000000e+00,    6.5999902785e-02,    0.0000000000e+00,
    6.7099399865e-02,    0.0000000000e+00,    6.7099399865e-02,    0.0000000000e+00,    6.7099399865e-02,    0.0000000000e+00,
    6.8199098110e-02,    0.0000000000e+00,    6.8199098110e-02,    0.0000000000e+00,    6.8199098110e-02,    0.0000000000e+00,
    6.9300003350e-02,    0.0000000000e+00,    6.9300003350e-02,    0.0000000000e+00,    6.9300003350e-02,    0.0000000000e+00,
    7.0399403572e-02,    0.0000000000e+00,    7.0399403572e-02,    0.0000000000e+00,    7.0399403572e-02,    0.0000000000e+00,
    7.1498900652e-02,    0.0000000000e+00,    7.1498900652e-02,    0.0000000000e+00,    7.1498900652e-02,    0.0000000000e+00,
    7.2598800063e-02,    0.0000000000e+00,    7.2598800063e-02,    0.0000000000e+00,    7.2598800063e-02,    0.0000000000e+00,
    7.3699496686e-02,    0.0000000000e+00,    7.3699496686e-02,    0.0000000000e+00,    7.3699496686e-02,    0.0000000000e+00,
    7.4799098074e-02,    0.0000000000e+00,    7.4799098074e-02,    0.0000000000e+00,    7.4799098074e-02,    0.0000000000e+00,
    7.5898997486e-02,    0.0000000000e+00,    7.5898997486e-02,    0.0000000000e+00,    7.5898997486e-02,    0.0000000000e+00,
    7.6999798417e-02,    0.0000000000e+00,    7.6999798417e-02,    0.0000000000e+00,    7.6999798417e-02,    0.0000000000e+00,
    7.8099802136e-02,    0.0000000000e+00,    7.8099802136e-02,    0.0000000000e+00,    7.8099802136e-02,    0.0000000000e+00,
    7.9199299216e-02,    0.0000000000e+00,    7.9199299216e-02,    0.0000000000e+00,    7.9199299216e-02,    0.0000000000e+00,
    8.0299802125e-02,    0.0000000000e+00,    8.0299802125e-02,    0.0000000000e+00,    8.0299802125e-02,    0.0000000000e+00,
    8.1398800015e-02,    0.0000000000e+00,    8.1398800015e-02,    0.0000000000e+00,    8.1398800015e-02,    0.0000000000e+00,
    8.2498796284e-02,    0.0000000000e+00,    8.2498796284e-02,    0.0000000000e+00,    8.2498796284e-02,    0.0000000000e+00,
    8.3599798381e-02,    0.0000000000e+00,    8.3599798381e-02,    0.0000000000e+00,    8.3599798381e-02,    0.0000000000e+00,
    8.4699198604e-02,    0.0000000000e+00,    8.4699198604e-02,    0.0000000000e+00,    8.4699198604e-02,    0.0000000000e+00,
    8.5799001157e-02,    0.0000000000e+00,    8.5799001157e-02,    0.0000000000e+00,    8.5799001157e-02,    0.0000000000e+00,
    8.6899101734e-02,    0.0000000000e+00,    8.6899101734e-02,    0.0000000000e+00,    8.6899101734e-02,    0.0000000000e+00,
    8.7999701500e-02,    0.0000000000e+00,    8.7999701500e-02,    0.0000000000e+00,    8.7999701500e-02,    0.0000000000e+00,
    8.9099496603e-02,    0.0000000000e+00,    8.9099496603e-02,    0.0000000000e+00,    8.9099496603e-02,    0.0000000000e+00,
    9.0199403465e-02,    0.0000000000e+00,    9.0199403465e-02,    0.0000000000e+00,    9.0199403465e-02,    0.0000000000e+00,
    9.1299496591e-02,    0.0000000000e+00,    9.1299496591e-02,    0.0000000000e+00,    9.1299496591e-02,    0.0000000000e+00,
    9.2399001122e-02,    0.0000000000e+00,    9.2399001122e-02,    0.0000000000e+00,    9.2399001122e-02,    0.0000000000e+00,
    9.3498900533e-02,    0.0000000000e+00,    9.3498900533e-02,    0.0000000000e+00,    9.3498900533e-02,    0.0000000000e+00,
    9.4599701464e-02,    0.0000000000e+00,    9.4599701464e-02,    0.0000000000e+00,    9.4599701464e-02,    0.0000000000e+00,
    9.5699101686e-02,    0.0000000000e+00,    9.5699101686e-02,    0.0000000000e+00,    9.5699101686e-02,    0.0000000000e+00,
    9.6799001098e-02,    0.0000000000e+00,    9.6799001098e-02,    0.0000000000e+00,    9.6799001098e-02,    0.0000000000e+00,
    9.7899496555e-02,    0.0000000000e+00,    9.7899496555e-02,    0.0000000000e+00,    9.7899496555e-02,    0.0000000000e+00,
    9.8998896778e-02,    0.0000000000e+00,    9.8998896778e-02,    0.0000000000e+00,    9.8998896778e-02,    0.0000000000e+00,
    1.0009899735e-01,    0.0000000000e+00,    1.0009899735e-01,    0.0000000000e+00,    1.0009899735e-01,    0.0000000000e+00,
    1.0119999945e-01,    0.0000000000e+00,    1.0119999945e-01,    0.0000000000e+00,    1.0119999945e-01,    0.0000000000e+00,
    1.0229899734e-01,    0.0000000000e+00,    1.0229899734e-01,    0.0000000000e+00,    1.0229899734e-01,    0.0000000000e+00,
    1.0339900106e-01,    0.0000000000e+00,    1.0339900106e-01,    0.0000000000e+00,    1.0339900106e-01,    0.0000000000e+00,
    1.0449899733e-01,    0.0000000000e+00,    1.0449899733e-01,    0.0000000000e+00,    1.0449899733e-01,    0.0000000000e+00,
    1.0559900105e-01,    0.0000000000e+00,    1.0559900105e-01,    0.0000000000e+00,    1.0559900105e-01,    0.0000000000e+00,
    1.0669899732e-01,    0.0000000000e+00,    1.0669899732e-01,    0.0000000000e+00,    1.0669899732e-01,    0.0000000000e+00,
    1.0779999942e-01,    0.0000000000e+00,    1.0779999942e-01,    0.0000000000e+00,    1.0779999942e-01,    0.0000000000e+00,
    1.0889899731e-01,    0.0000000000e+00,    1.0889899731e-01,    0.0000000000e+00,    1.0889899731e-01,    0.0000000000e+00,
    1.0999900103e-01,    0.0000000000e+00,    1.0999900103e-01,    0.0000000000e+00,    1.0999900103e-01,    0.0000000000e+00,
    1.1109899729e-01,    0.0000000000e+00,    1.1109899729e-01,    0.0000000000e+00,    1.1109899729e-01,    0.0000000000e+00,
    1.1219900101e-01,    0.0000000000e+00,    1.1219900101e-01,    0.0000000000e+00,    1.1219900101e-01,    0.0000000000e+00,
    1.1329899728e-01,    0.0000000000e+00,    1.1329899728e-01,    0.0000000000e+00,    1.1329899728e-01,    0.0000000000e+00,
    1.1439900100e-01,    0.0000000000e+00,    1.1439900100e-01,    0.0000000000e+00,    1.1439900100e-01,    0.0000000000e+00,
    1.1550000310e-01,    0.0000000000e+00,    1.1550000310e-01,    0.0000000000e+00,    1.1550000310e-01,    0.0000000000e+00,
    1.1659900099e-01,    0.0000000000e+00,    1.1659900099e-01,    0.0000000000e+00,    1.1659900099e-01,    0.0000000000e+00,
    1.1770000309e-01,    0.0000000000e+00,    1.1770000309e-01,    0.0000000000e+00,    1.1770000309e-01,    0.0000000000e+00,
    1.1879900098e-01,    0.0000000000e+00,    1.1879900098e-01,    0.0000000000e+00,    1.1879900098e-01,    0.0000000000e+00,
    1.1990000308e-01,    0.0000000000e+00,    1.1990000308e-01,    0.0000000000e+00,    1.1990000308e-01,    0.0000000000e+00,
    1.2099999934e-01,    0.0000000000e+00,    1.2099999934e-01,    0.0000000000e+00,    1.2099999934e-01,    0.0000000000e+00,
    1.2209899724e-01,    0.0000000000e+00,    1.2209899724e-01,    0.0000000000e+00,    1.2209899724e-01,    0.0000000000e+00,
