LS-DYNA keyword deck by LS-PrePost,Rcforc Data
Time,Ma 368 X-force,Time,Ma 368 Y-force,Time,Ma 368 Z-force,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    1.0996400379e-03,    0.0000000000e+00,    1.0996400379e-03,    0.0000000000e+00,    1.0996400379e-03,    0.0000000000e+00,
    2.1986800712e-03,    0.0000000000e+00,    2.1986800712e-03,    0.0000000000e+00,    2.1986800712e-03,    0.0000000000e+00,
    3.2980600372e-03,    0.0000000000e+00,    3.2980600372e-03,    0.0000000000e+00,    3.2980600372e-03,    0.0000000000e+00,
    4.3998998590e-03,    0.0000000000e+00,    4.3998998590e-03,    0.0000000000e+00,    4.3998998590e-03,    0.0000000000e+00,
    5.4985801689e-03,    0.0000000000e+00,    5.4985801689e-03,    0.0000000000e+00,    5.4985801689e-03,    0.0000000000e+00,
    6.5981298685e-03,    0.0000000000e+00,    6.5981298685e-03,    0.0000000000e+00,    6.5981298685e-03,    0.0000000000e+00,
    7.6979701407e-03,    0.0000000000e+00,    7.6979701407e-03,    0.0000000000e+00,    7.6979701407e-03,    0.0000000000e+00,
    8.7987398729e-03,    0.0000000000e+00,    8.7987398729e-03,    0.0000000000e+00,    8.7987398729e-03,    0.0000000000e+00,
    9.8982900381e-03,    0.0000000000e+00,    9.8982900381e-03,    0.0000000000e+00,    9.8982900381e-03,    0.0000000000e+00,
    1.0998199694e-02,    0.0000000000e+00,    1.0998199694e-02,    0.0000000000e+00,    1.0998199694e-02,    0.0000000000e+00,
    1.2099199928e-02,    0.0000000000e+00,    1.2099199928e-02,    0.0000000000e+00,    1.2099199928e-02,    0.0000000000e+00,
    1.3198699802e-02,    0.0000000000e+00,    1.3198699802e-02,    0.0000000000e+00,    1.3198699802e-02,    0.0000000000e+00,
    1.4298699796e-02,    0.0000000000e+00,    1.4298699796e-02,    0.0000000000e+00,    1.4298699796e-02,    0.0000000000e+00,
    1.5399199910e-02,    0.0000000000e+00,    1.5399199910e-02,    0.0000000000e+00,    1.5399199910e-02,    0.0000000000e+00,
    1.6498599201e-02,    0.0000000000e+00,    1.6498599201e-02,    0.0000000000e+00,    1.6498599201e-02,    0.0000000000e+00,
    1.7599800602e-02,    0.0000000000e+00,    1.7599800602e-02,    0.0000000000e+00,    1.7599800602e-02,    0.0000000000e+00,
    1.8699500710e-02,    0.0000000000e+00,    1.8699500710e-02,    0.0000000000e+00,    1.8699500710e-02,    0.0000000000e+00,
    1.9798099995e-02,    0.0000000000e+00,    1.9798099995e-02,    0.0000000000e+00,    1.9798099995e-02,    0.0000000000e+00,
    2.0898999646e-02,    0.0000000000e+00,    2.0898999646e-02,    0.0000000000e+00,    2.0898999646e-02,    0.0000000000e+00,
    2.1998599172e-02,    0.0000000000e+00,    2.1998599172e-02,    0.0000000000e+00,    2.1998599172e-02,    0.0000000000e+00,
    2.3098599166e-02,    0.0000000000e+00,    2.3098599166e-02,    0.0000000000e+00,    2.3098599166e-02,    0.0000000000e+00,
    2.4198699743e-02,    0.0000000000e+00,    2.4198699743e-02,    0.0000000000e+00,    2.4198699743e-02,    0.0000000000e+00,
    2.5298299268e-02,    0.0000000000e+00,    2.5298299268e-02,    0.0000000000e+00,    2.5298299268e-02,    0.0000000000e+00,
    2.6398699731e-02,    0.0000000000e+00,    2.6398699731e-02,    0.0000000000e+00,    2.6398699731e-02,    0.0000000000e+00,
    2.7498599142e-02,    0.0000000000e+00,    2.7498599142e-02,    0.0000000000e+00,    2.7498599142e-02,    0.0000000000e+00,
    2.8598200530e-02,    0.0000000000e+00,    2.8598200530e-02,    0.0000000000e+00,    2.8598200530e-02,    0.0000000000e+00,
    2.9698800296e-02,    0.0000000000e+00,    2.9698800296e-02,    0.0000000000e+00,    2.9698800296e-02,    0.0000000000e+00,
    3.0798699707e-02,    0.0000000000e+00,    3.0798699707e-02,    0.0000000000e+00,    3.0798699707e-02,    0.0000000000e+00,
    3.1897798181e-02,    0.0000000000e+00,    3.1897798181e-02,    0.0000000000e+00,    3.1897798181e-02,    0.0000000000e+00,
    3.2999798656e-02,    0.0000000000e+00,    3.2999798656e-02,    0.0000000000e+00,    3.2999798656e-02,    0.0000000000e+00,
    3.4099500626e-02,    0.0000000000e+00,    3.4099500626e-02,    0.0000000000e+00,    3.4099500626e-02,    0.0000000000e+00,
    3.5199198872e-02,    0.0000000000e+00,    3.5199198872e-02,    0.0000000000e+00,    3.5199198872e-02,    0.0000000000e+00,
    3.6299701780e-02,    0.0000000000e+00,    3.6299701780e-02,    0.0000000000e+00,    3.6299701780e-02,    0.0000000000e+00,
    3.7399500608e-02,    0.0000000000e+00,    3.7399500608e-02,    0.0000000000e+00,    3.7399500608e-02,    0.0000000000e+00,
    3.8499798626e-02,    0.0000000000e+00,    3.8499798626e-02,    0.0000000000e+00,    3.8499798626e-02,    0.0000000000e+00,
    3.9599299431e-02,    0.0000000000e+00,    3.9599299431e-02,    0.0000000000e+00,    3.9599299431e-02,    0.0000000000e+00,
    4.0699198842e-02,    0.0000000000e+00,    4.0699198842e-02,    0.0000000000e+00,    4.0699198842e-02,    0.0000000000e+00,
    4.1799098253e-02,    0.0000000000e+00,    4.1799098253e-02,    0.0000000000e+00,    4.1799098253e-02,    0.0000000000e+00,
    4.2898599058e-02,    0.0000000000e+00,    4.2898599058e-02,    0.0000000000e+00,    4.2898599058e-02,    0.0000000000e+00,
    4.3998599052e-02,    0.0000000000e+00,    4.3998599052e-02,    0.0000000000e+00,    4.3998599052e-02,    0.0000000000e+00,
    4.5099500567e-02,    0.0000000000e+00,    4.5099500567e-02,    0.0000000000e+00,    4.5099500567e-02,    0.0000000000e+00,
    4.6199001372e-02,    0.0000000000e+00,    4.6199001372e-02,    0.0000000000e+00,    4.6199001372e-02,    0.0000000000e+00,
    4.7299001366e-02,    0.0000000000e+00,    4.7299001366e-02,    0.0000000000e+00,    4.7299001366e-02,    0.0000000000e+00,
    4.8399601132e-02,    0.0000000000e+00,    4.8399601132e-02,    0.0000000000e+00,    4.8399601132e-02,    0.0000000000e+00,
    4.9498200417e-02,    0.0000000000e+00,    4.9498200417e-02,    0.0000000000e+00,    4.9498200417e-02,    0.0000000000e+00,
    5.0598498434e-02,    0.0000000000e+00,    5.0598498434e-02,    0.0000000000e+00,    5.0598498434e-02,    0.0000000000e+00,
    5.1698800176e-02,    0.0000000000e+00,    5.1698800176e-02,    0.0000000000e+00,    5.1698800176e-02,    0.0000000000e+00,
    5.2799098194e-02,    0.0000000000e+00,    5.2799098194e-02,    0.0000000000e+00,    5.2799098194e-02,    0.0000000000e+00,
    5.3899299353e-02,    0.0000000000e+00,    5.3899299353e-02,    0.0000000000e+00,    5.3899299353e-02,    0.0000000000e+00,
    5.4998800159e-02,    0.0000000000e+00,    5.4998800159e-02,    0.0000000000e+00,    5.4998800159e-02,    0.0000000000e+00,
    5.6099399924e-02,    0.0000000000e+00,    5.6099399924e-02,    0.0000000000e+00,    5.6099399924e-02,    0.0000000000e+00,
    5.7199399918e-02,    0.0000000000e+00,    5.7199399918e-02,    0.0000000000e+00,    5.7199399918e-02,    0.0000000000e+00,
    5.8299001306e-02,    0.0000000000e+00,    5.8299001306e-02,    0.0000000000e+00,    5.8299001306e-02,    0.0000000000e+00,
    5.9398401529e-02,    0.0000000000e+00,    5.9398401529e-02,    0.0000000000e+00,    5.9398401529e-02,    0.0000000000e+00,
    6.0498401523e-02,    0.0000000000e+00,    6.0498401523e-02,    0.0000000000e+00,    6.0498401523e-02,    0.0000000000e+00,
    6.1598800123e-02,    0.0000000000e+00,    6.1598800123e-02,    0.0000000000e+00,    6.1598800123e-02,    0.0000000000e+00,
    6.2697999179e-02,    0.0000000000e+00,    6.2697999179e-02,    0.0000000000e+00,    6.2697999179e-02,    0.0000000000e+00,
    6.3799999654e-02,    0.0000000000e+00,    6.3799999654e-02,    0.0000000000e+00,    6.3799999654e-02,    0.0000000000e+00,
    6.4899496734e-02,    0.0000000000e+00,    6.4899496734e-02,    0.0000000000e+00,    6.4899496734e-02,    0.0000000000e+00,
    6.5998397768e-02,    0.0000000000e+00,    6.5998397768e-02,    0.0000000000e+00,    6.5998397768e-02,    0.0000000000e+00,
    6.7098297179e-02,    0.0000000000e+00,    6.7098297179e-02,    0.0000000000e+00,    6.7098297179e-02,    0.0000000000e+00,
    6.8198703229e-02,    0.0000000000e+00,    6.8198703229e-02,    0.0000000000e+00,    6.8198703229e-02,    0.0000000000e+00,
    6.9298200309e-02,    0.0000000000e+00,    6.9298200309e-02,    0.0000000000e+00,    6.9298200309e-02,    0.0000000000e+00,
    7.0398099720e-02,    0.0000000000e+00,    7.0398099720e-02,    0.0000000000e+00,    7.0398099720e-02,    0.0000000000e+00,
    7.1498796344e-02,    0.0000000000e+00,    7.1498796344e-02,    0.0000000000e+00,    7.1498796344e-02,    0.0000000000e+00,
    7.2598300874e-02,    0.0000000000e+00,    7.2598300874e-02,    0.0000000000e+00,    7.2598300874e-02,    0.0000000000e+00,
    7.3698297143e-02,    0.0000000000e+00,    7.3698297143e-02,    0.0000000000e+00,    7.3698297143e-02,    0.0000000000e+00,
    7.4798397720e-02,    0.0000000000e+00,    7.4798397720e-02,    0.0000000000e+00,    7.4798397720e-02,    0.0000000000e+00,
    7.5897999108e-02,    0.0000000000e+00,    7.5897999108e-02,    0.0000000000e+00,    7.5897999108e-02,    0.0000000000e+00,
    7.6998002827e-02,    0.0000000000e+00,    7.6998002827e-02,    0.0000000000e+00,    7.6998002827e-02,    0.0000000000e+00,
    7.8099802136e-02,    0.0000000000e+00,    7.8099802136e-02,    0.0000000000e+00,    7.8099802136e-02,    0.0000000000e+00,
    7.9199798405e-02,    0.0000000000e+00,    7.9199798405e-02,    0.0000000000e+00,    7.9199798405e-02,    0.0000000000e+00,
    8.0299802125e-02,    0.0000000000e+00,    8.0299802125e-02,    0.0000000000e+00,    8.0299802125e-02,    0.0000000000e+00,
