LS-DYNA keyword deck by LS-PrePost,Rcforc Data
Time,Ma 376 X-force,Time,Ma 376 Y-force,Time,Ma 376 Z-force,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    1.0999100050e-03,    0.0000000000e+00,    1.0999100050e-03,    0.0000000000e+00,    1.0999100050e-03,    0.0000000000e+00,
    2.1997101139e-03,    0.0000000000e+00,    2.1997101139e-03,    0.0000000000e+00,    2.1997101139e-03,    0.0000000000e+00,
    3.2997298986e-03,    0.0000000000e+00,    3.2997298986e-03,    0.0000000000e+00,    3.2997298986e-03,    0.0000000000e+00,
    4.3997401372e-03,    0.0000000000e+00,    4.3997401372e-03,    0.0000000000e+00,    4.3997401372e-03,    0.0000000000e+00,
    5.4999599233e-03,    0.0000000000e+00,    5.4999599233e-03,    0.0000000000e+00,    5.4999599233e-03,    0.0000000000e+00,
    6.5999100916e-03,    0.0000000000e+00,    6.5999100916e-03,    0.0000000000e+00,    6.5999100916e-03,    0.0000000000e+00,
    7.6998001896e-03,    0.0000000000e+00,    7.6998001896e-03,    0.0000000000e+00,    7.6998001896e-03,    0.0000000000e+00,
    8.7997401133e-03,    0.0000000000e+00,    8.7997401133e-03,    0.0000000000e+00,    8.7997401133e-03,    0.0000000000e+00,
    9.8997298628e-03,    0.0000000000e+00,    9.8997298628e-03,    0.0000000000e+00,    9.8997298628e-03,    0.0000000000e+00,
    1.0999799706e-02,    0.0000000000e+00,    1.0999799706e-02,    0.0000000000e+00,    1.0999799706e-02,    0.0000000000e+00,
    1.2099900283e-02,    0.0000000000e+00,    1.2099900283e-02,    0.0000000000e+00,    1.2099900283e-02,    0.0000000000e+00,
    1.3199900277e-02,    0.0000000000e+00,    1.3199900277e-02,    0.0000000000e+00,    1.3199900277e-02,    0.0000000000e+00,
    1.4299700037e-02,    0.0000000000e+00,    1.4299700037e-02,    0.0000000000e+00,    1.4299700037e-02,    0.0000000000e+00,
