LS-DYNA keyword deck by LS-PrePost,Rcforc Data
Time,Ma 376 X-force,Time,Ma 376 Y-force,Time,Ma 376 Z-force,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    1.0999500519e-03,    0.0000000000e+00,    1.0999500519e-03,    0.0000000000e+00,    1.0999500519e-03,    0.0000000000e+00,
    2.1998300217e-03,    0.0000000000e+00,    2.1998300217e-03,    0.0000000000e+00,    2.1998300217e-03,    0.0000000000e+00,
    3.2998300157e-03,    0.0000000000e+00,    3.2998300157e-03,    0.0000000000e+00,    3.2998300157e-03,    0.0000000000e+00,
    4.3999599293e-03,    0.0000000000e+00,    4.3999599293e-03,    0.0000000000e+00,    4.3999599293e-03,    0.0000000000e+00,
    5.4998300038e-03,    0.0000000000e+00,    5.4998300038e-03,    0.0000000000e+00,    5.4998300038e-03,    0.0000000000e+00,
    6.5999398939e-03,    0.0000000000e+00,    6.5999398939e-03,    0.0000000000e+00,    6.5999398939e-03,    0.0000000000e+00,
    7.6998397708e-03,    0.0000000000e+00,    7.6998397708e-03,    0.0000000000e+00,    7.6998397708e-03,    0.0000000000e+00,
    8.7998304516e-03,    0.0000000000e+00,    8.7998304516e-03,    0.0000000000e+00,    8.7998304516e-03,    0.0000000000e+00,
    9.8998202011e-03,    0.0000000000e+00,    9.8998202011e-03,    0.0000000000e+00,    9.8998202011e-03,    0.0000000000e+00,
    1.0999900289e-02,    0.0000000000e+00,    1.0999900289e-02,    0.0000000000e+00,    1.0999900289e-02,    0.0000000000e+00,
    1.2099799700e-02,    0.0000000000e+00,    1.2099799700e-02,    0.0000000000e+00,    1.2099799700e-02,    0.0000000000e+00,
    1.3199999928e-02,    0.0000000000e+00,    1.3199999928e-02,    0.0000000000e+00,    1.3199999928e-02,    0.0000000000e+00,
    1.4299999923e-02,    0.0000000000e+00,    1.4299999923e-02,    0.0000000000e+00,    1.4299999923e-02,    0.0000000000e+00,
