material,route,street_width_um,wafer_thickness_um,lowk_stack_um,groove_power_W,groove_speed_mm_s,groove_passes,stealth_power_W,stealth_speed_mm_s,stealth_focal_depth_um,stealth_layers,plasma_pressure_mTorr,plasma_etch_rate_um_min,blade_feed_mm_s,blade_W_um,mat_K_Ic_MPa,mat_H_GPa,mat_E_GPa,mat_k_thermal,mat_sigma_flex_MPa,a_kerf_um,a_chip_um,a_haz_um,a_lowk_cleared_um,a_wph,b_method,b_kerf_um,b_chip_um,b_haz_um,b_ssd_um,b_residual_MPa,b_wph,feasible,n_violations,die_strength_MPa,total_chipping_um,max_haz_um,governing_crack_um,throughput_wph,residual_stress_MPa
Si,laser+stealth,20.0,80.0,2.0,33.956510126900554,335.8873496664445,4,2.689963658297616,296.90706845204033,49.32720634986467,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.096,1.0388224000000001,1.8,1.007,9.431191679486162,stealth,2.016,0.293,0.0023,0.07640000000000001,1.69,15.289276319351336,0,2,200.0,1.0388224000000001,1.8,0.9,5.833064957152594,5.5432
Si,laser+stealth,20.0,80.0,2.0,34.490396040027136,239.28441235357857,2,3.1280383033391326,360.0531410517471,74.89808983526817,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.116,1.0399104000000001,1.8000000000000003,0.598,12.796629584969796,stealth,2.033,0.211,0.0023,0.0772,1.69,17.81680326868904,0,2,200.0,1.0399104000000001,1.8000000000000003,0.9000000000000001,7.447548692352658,5.5432
Si,laser+stealth,20.0,80.0,2.0,21.034317389338938,308.80867237590195,5,5.6418310686965985,449.07924998799905,75.05417582694659,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.458,1.0041152,1.7999999999999998,1.226,7.1599479179883,stealth,1.766,0.183,0.0012,0.0398,1.69,33.34547429223348,0,2,200.0,1.0041152,1.7999999999999998,0.8999999999999999,5.894318493803012,5.5432
Si,laser+stealth,20.0,80.0,2.0,31.537748005672555,105.35164490202854,5,6.282108250877087,375.6842992259874,80.23051344793498,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.999,1.0335456,1.7999999999999998,2.224,2.5957117884889733,stealth,2.338,0.224,0.0036,0.1202,1.69,13.294795005910467,0,1,200.0,1.0335456,1.7999999999999998,0.8999999999999999,2.1717026756219555,5.5432
Si,laser+stealth,20.0,80.0,2.0,14.74142545167869,336.62454192556277,5,7.678793070447162,239.27848272327304,45.853193855153016,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,17.97,0.977568,1.7999999999999998,1.113,7.742461680876974,stealth,2.135,0.324,0.0024,0.08100000000000002,1.69,12.796363198846995,0,1,200.0,0.977568,1.7999999999999998,0.8999999999999999,4.823808192622784,5.5432
Si,laser+stealth,20.0,80.0,2.0,18.846166583202166,320.90600158272946,5,6.60604669118489,251.97625096189677,62.1136342374789,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.309,0.9960096000000002,1.8,1.183,7.414437573359633,stealth,1.781,0.221,0.0012,0.04020000000000001,1.69,22.89926112987321,0,2,200.0,0.9960096000000002,1.8,0.9,5.600937839545088,5.5432
Si,laser+stealth,20.0,80.0,2.0,23.711124365103565,257.40221924547154,6,5.886634400204766,355.73005775293717,41.16087767286723,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.62,1.012928,1.8,1.64,5.113130138188308,stealth,1.77,0.284,0.0012,0.04000000000000001,1.69,28.919714893810504,0,2,200.0,1.012928,1.8,0.9,4.344928132582604,5.5432
Si,laser+stealth,20.0,80.0,2.0,37.73030612841593,271.77471106091673,4,5.802216132957759,235.86596577308643,60.19876086740362,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.233,1.0462752000000002,1.8,1.135,7.806677075091575,stealth,2.328,0.296,0.0036,0.1196,1.69,8.89715459149286,0,2,200.0,1.0462752000000002,1.8,0.9,4.158160484932349,5.5432
Si,laser+stealth,20.0,80.0,2.0,27.794575465172585,144.0639669180943,6,2.136189016559115,345.79459370566235,58.99693231772373,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.832,1.0244608000000002,1.7999999999999998,2.242,2.9446066743264603,stealth,1.989,0.257,0.0023,0.07540000000000001,1.69,17.263492896992744,0,1,200.0,1.0244608000000002,1.7999999999999998,0.8999999999999999,2.515535725032741,5.5432
Si,laser+stealth,20.0,80.0,2.0,25.226204118296803,315.32277706207094,2,7.331099276848022,390.3844828363327,72.56717326774134,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.703,1.0174432,1.8,0.498,16.047370643431332,stealth,2.13,0.229,0.0024,0.08080000000000001,1.69,18.961961205374628,0,2,200.0,1.0174432,1.8,0.9,8.691671720646985,5.5432
Si,laser+stealth,20.0,80.0,2.0,21.802243108932508,353.59334220439297,2,3.048589628004976,265.4805630698338,64.98730544281854,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.507,1.0067808000000003,1.8,0.461,17.567341488771334,stealth,2.031,0.242,0.0023,0.07700000000000001,1.69,13.9532219479313,0,2,200.0,1.0067808000000003,1.8,0.9,7.776542932684658,5.5432
Si,laser+stealth,20.0,80.0,2.0,17.85172692048936,178.04282602217458,3,5.693480447678823,407.94304084140987,79.18456381630739,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.235,0.9919840000000001,1.8,0.946,6.904235096005038,stealth,2.102,0.204,0.0024,0.0796,1.69,19.605811232913297,0,2,200.0,0.9919840000000001,1.8,0.9,5.10610688191328,5.5432
Si,laser+stealth,20.0,80.0,2.0,27.748953602575376,182.6715576222854,4,3.3474546560588054,328.77906480479976,82.86056727694768,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.83,1.024352,1.7999999999999998,1.327,5.420630213552518,stealth,2.041,0.187,0.0023,0.07740000000000001,1.69,16.590171343060025,0,2,200.0,1.024352,1.7999999999999998,0.8999999999999999,4.085684194594338,5.5432
Si,laser+stealth,20.0,80.0,2.0,38.516769010150725,132.0588252198615,5,6.393978376609878,200.30122429275835,76.69782077160363,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.26,1.0477440000000002,1.8000000000000003,2.042,3.227193269037421,stealth,2.114,0.213,0.0024,0.08020000000000001,1.69,10.998474060557992,0,1,200.0,1.0477440000000002,1.8000000000000003,0.9000000000000001,2.4950816461223195,5.5432
Si,laser+stealth,20.0,80.0,2.0,12.605323796344399,391.47372461766895,5,4.064257604554619,464.4541236099461,63.351442469052856,3,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,17.751,0.9656544000000001,1.8,1.007,8.864225750919227,stealth,2.284,0.278,0.0035,0.1174,1.69,15.815176739709576,0,1,200.0,0.9656544000000001,1.8,0.9,5.6804169778707045,5.5432
Si,laser+stealth,20.0,80.0,2.0,29.82331087508131,343.74626433389716,6,4.393649297008382,224.0648309659869,83.98927375556116,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.925,1.0295200000000002,1.8,1.466,6.684975958752306,stealth,2.072,0.187,0.0024,0.0786,1.69,12.105871255558272,0,2,200.0,1.0295200000000002,1.8,0.9,4.306748779348575,5.5432
Si,laser+stealth,20.0,80.0,2.0,16.345129547274485,348.8682687242885,4,7.295925630425138,256.38225301098373,42.49825620986826,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.113,0.9853472000000001,1.8,0.889,9.751248428412007,stealth,1.79,0.282,0.0012,0.040400000000000005,1.69,23.18363521102384,0,2,200.0,0.9853472000000001,1.8,0.9,6.8641319304884565,5.5432
Si,laser+stealth,20.0,80.0,2.0,30.688130928974836,88.70262248241023,5,2.190609591518682,243.47207694019244,46.51576789053067,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.963,1.0315872000000001,1.7999999999999998,2.415,2.1967681565077464,stealth,1.992,0.3,0.0023,0.0756,1.69,12.98423271809434,0,1,200.0,1.0315872000000001,1.7999999999999998,0.8999999999999999,1.8788846142229934,5.5432
Si,laser+stealth,20.0,80.0,2.0,26.618678294494217,94.68249765877452,4,7.472872344071396,398.27348120348046,66.76486334899548,2,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,18.774,1.0213056,1.8,1.833,2.904419403709579,stealth,2.132,0.248,0.0024,0.08080000000000001,1.69,19.25293100463442,0,2,200.0,1.0213056,1.8,0.9,2.5237036630103655,5.5432
Si,laser+stealth,20.0,80.0,2.0,37.195019372318754,278.44535473710084,3,3.486359072822818,350.6504062438015,69.4771050569606,1,20.0,8.0,80.0,23.0,0.83,10.0,130.0,148.0,200.0,19.215,1.045296,1.8000000000000003,0.84,10.296578824641992,stealth,1.72,0.193,0.0012,0.0388,1.69,28.654670685020793,0,2,200.0,1.045296,1.8000000000000003,0.9000000000000001,7.574726847447647,5.5432
