material,route,n,feasible_rate,die_strength_med,chipping_med,residual_med,throughput_med,governing_crack_med
Diamond,laser+blade,320,0.053125,1000.0,1.2104247883275234,16.60886328473324,3.7877737942351883,0.9
Diamond,laser+plasma,320,0.046875,1000.0,1.0389584,17.0075,2.044102164108227,0.9
Diamond,laser+stealth,320,0.053125,1000.0,1.0197008000000003,17.22,4.809195503749651,0.9
Ga2O3,laser+blade,320,0.025,150.0,2.92015129561272,143.35575,3.700761817596524,2.372157887993188
Ga2O3,laser+plasma,320,0.05,150.0,1.0381696,20.10575,2.070938980069948,0.9
Ga2O3,laser+stealth,320,0.059375,150.0,1.0196464,21.402,4.7578977798690305,0.9
GaN,laser+blade,320,0.046875,280.0,1.2711179012408431,122.61681627864122,3.710587253897577,1.748259207933561
GaN,laser+plasma,320,0.0375,280.0,1.0361568,24.3218,2.0592925240626103,0.9
GaN,laser+stealth,320,0.053125,280.0,1.0194831999999998,27.0928,4.765771735054863,0.9
Si,laser+blade,320,0.046875,200.0,1.019728,22.535745936471354,3.729950043745255,1.1924861545425227
Si,laser+plasma,320,0.046875,200.0,1.0389856000000002,8.3567,2.08366034191923,0.9
Si,laser+stealth,320,0.05625,200.0,1.0196464,5.5432,4.77059320195556,0.9
SiC,laser+blade,320,0.0375,500.0,1.0196192,63.898236253330836,3.6426758192487116,0.9
SiC,laser+plasma,320,0.0625,500.0,1.0406448,27.111439999999998,2.0420411890236885,0.9
SiC,laser+stealth,320,0.0625,500.0,1.0195104000000001,30.858239999999995,4.633939579955823,0.9
