material,process,mat_k_thermal,mat_E_GPa,mat_cte,power_W,speed_mm_s,beam_radius_um,blade_W_um,cut_depth_um,peak_T_C,groove_depth_um,haz_depth_um,haz_excess_um,haz_width_um,haz_volume_um3,haz_volume_frac,ablated_volume_um3,max_grad_C_per_um,max_thermal_stress_MPa,crack_risk_volume_um3,crack_risk_frac,n_steps
Si,laser,148.0,130.0,2.6e-06,13.279019805409945,342.8968009429088,5.50588527320421,23.0,60.0,1817.57,0.0,15.0,15.0,35.0,8500.0,0.005366,0.0,148.639,841.51,20625.0,0.013021,5901
Si,laser,148.0,130.0,2.6e-06,31.563282120129216,165.28318677351024,6.874153696187902,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,4500.0,0.002841,125.0,395.0,927.15,8250.0,0.005208,801
Si,laser,148.0,130.0,2.6e-06,23.465311292842912,265.33326086308966,4.427755428012179,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,2000.0,0.001263,125.0,395.0,927.15,4125.0,0.002604,501
Si,laser,148.0,130.0,2.6e-06,30.04136561706437,90.75622820081458,6.545283953008954,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3750.0,0.002367,125.0,395.0,927.15,7125.0,0.004498,1301
Si,laser,148.0,130.0,2.6e-06,36.03396225917911,267.70151128475874,5.919287312435624,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3000.0,0.001894,125.0,395.0,927.15,5875.0,0.003709,351
Si,laser,148.0,130.0,2.6e-06,22.74902863005847,289.5433560088627,6.400118704385047,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,5625.0,0.003551,125.0,273.844,927.15,10500.0,0.006629,901
Si,laser,148.0,130.0,2.6e-06,38.077132679534046,153.41149909385805,5.707580945546946,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2375.0,0.001499,125.0,395.0,927.15,4375.0,0.002762,351
Si,laser,148.0,130.0,2.6e-06,19.543554868535352,118.23442993468569,7.386670100077771,23.0,60.0,1925.87,0.0,15.0,15.0,35.0,8625.0,0.005445,0.0,162.539,892.35,17625.0,0.011127,3651
Si,laser,148.0,130.0,2.6e-06,32.19850152702597,336.25025374248884,7.73804140128908,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,6875.0,0.00434,125.0,353.081,927.15,12500.0,0.007891,601
Si,laser,148.0,130.0,2.6e-06,37.584980737394446,202.1816559225891,4.19629761991624,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1625.0,0.001026,250.0,395.0,927.15,2750.0,0.001736,351
