material,process,power_W,speed_mm_s,beam_radius_um,blade_W_um,cut_depth_um,peak_T_C,groove_depth_um,haz_depth_um,haz_excess_um,haz_width_um,haz_volume_um3,haz_volume_frac,ablated_volume_um3,max_grad_C_per_um,n_steps
Si,laser,20.59942378107477,160.6717115061093,7.882245982714388,23.0,60.0,2000.0,5.0,20.0,15.0,35.0,11625.0,0.007339,125.0,151.774,3351
Si,laser,31.442976680388163,208.45374442395317,3.597736117899288,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1250.0,0.000789,250.0,395.0,401
Si,laser,18.351311241205117,310.50708644951453,4.731706631327841,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3375.0,0.002131,125.0,271.584,801
Si,laser,15.870144847575537,116.26540478400545,7.041888598736328,23.0,60.0,1845.14,0.0,20.0,20.0,35.0,11875.0,0.007497,0.0,131.983,8301
Si,laser,29.37689346114188,197.26357844699774,6.167217657819503,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3750.0,0.002367,125.0,395.0,651
Si,laser,34.71559039341814,233.41248829387263,6.5344505861121736,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3500.0,0.00221,125.0,395.0,401
Si,laser,25.23077022296251,156.31707108243063,3.938355781303171,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1375.0,0.000868,125.0,395.0,601
Si,laser,13.21327155153436,134.58993121967995,3.012804226230061,23.0,60.0,2000.0,5.0,10.0,5.0,15.0,1000.0,0.000631,125.0,395.0,901
Si,laser,17.71480855317514,85.3957342752774,6.015768523833692,23.0,60.0,1902.38,0.0,15.0,15.0,25.0,5125.0,0.003235,0.0,208.079,3451
Si,laser,27.961670677552462,366.75822451014267,5.3897467223669535,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,3250.0,0.002052,125.0,395.0,401
Si,laser,9.273923374642909,287.7784284795821,5.811628104934129,23.0,60.0,1229.28,0.0,10.0,10.0,25.0,3250.0,0.002052,0.0,97.466,7001
Si,laser,37.188600060399395,351.43059661459523,7.1630841847112325,23.0,60.0,2000.0,5.0,15.0,10.0,25.0,5000.0,0.003157,250.0,395.0,351
Si,laser,22.24856655299913,247.67355108523765,4.883849897232957,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2250.0,0.00142,125.0,395.0,601
Si,laser,32.97167071766358,337.78975668698,4.478017327009358,23.0,60.0,2000.0,5.0,10.0,5.0,25.0,2500.0,0.001578,125.0,395.0,351
Si,laser,10.033055271057059,273.71083968961386,3.7948828098329446,23.0,60.0,1767.92,0.0,15.0,15.0,25.0,4250.0,0.002683,0.0,165.214,7351
Si,laser,39.78054870400959,384.5431518706676,7.49738093766505,23.0,60.0,2000.0,5.0,15.0,10.0,35.0,6000.0,0.003788,250.0,395.0,351
Si,blade,13.03735490890442,111.13989467417646,5.0,29.413019299652255,59.384879863943226,162.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.434,8701
Si,blade,41.543786836562276,40.80486545584554,5.0,18.756493668294627,79.02954291850874,391.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.368,15901
Si,blade,12.112686981994754,116.46604146419688,5.0,20.219065890213088,41.150249817700846,182.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.383,8301
Si,blade,31.414422098768906,59.98881840461488,5.0,21.88951458242149,57.0372163244911,336.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.808,13401
Si,blade,45.055139177570005,86.39546485829575,5.0,21.001093176093697,49.48992924271039,541.51,0.0,40.0,40.0,35.0,5875.0,0.003709,0.0,21.456,9601
Si,blade,28.3958138462884,79.31017518118684,5.0,24.488635448271406,82.20137278373687,236.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011,10401
Si,blade,44.60374499527121,102.75418663053418,5.0,27.701292208601917,88.89632367121791,360.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.141,9401
Si,blade,36.633222037191835,46.92912018794599,5.0,28.203428658728853,74.08980633066707,303.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.133,14201
Si,blade,33.78651893303447,81.18422926614164,5.0,25.473153338837882,64.97208006887936,341.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.952,10201
Si,blade,47.516469505462894,106.73975352314369,5.0,15.522885513155336,48.13795579551228,705.18,0.0,50.0,50.0,35.0,30375.0,0.019176,0.0,26.444,7851
Si,blade,16.840964676283217,96.55380314446856,5.0,23.11752872348548,75.44703116418978,165.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.596,9901
Si,blade,21.41884953287111,67.30978954766933,5.0,24.028048309532345,67.06320784654885,212.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.705,12051
Si,blade,37.543033150968895,63.04670068522552,5.0,18.59282449171941,45.03544721405932,525.09,0.0,25.0,25.0,15.0,3125.0,0.001973,0.0,24.803,10901
Si,blade,27.299439200270655,92.71120138544413,5.0,26.921339324171342,84.52756184644423,228.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67,9001
Si,blade,17.70934173671786,74.0746210343458,5.0,16.338904217900257,69.62247132397844,216.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.647,11001
Si,blade,22.91230553381599,50.076448282983556,5.0,17.113163356680598,53.05963710597886,305.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.445,13301
