power_W,speed_mm_s,focus_depth_um,absorptivity,T_peak_K,haz_radius_um,penetration_depth_um,throughput_proxy,kerf_quality,above_damage_thr,below_melt
5.0,100.0,50.0,0.25,615.248018626143,0.0,0.0,100.0,0.0,False,True
5.0,100.0,50.0,0.35,741.3472260766001,0.0,0.0,100.0,0.0,False,True
5.0,100.0,50.0,0.45,867.4464335270573,0.0,0.0,100.0,0.0,False,True
5.0,100.0,75.0,0.25,615.248018626143,0.0,0.0,100.0,0.0,False,True
5.0,100.0,75.0,0.35,741.3472260766001,0.0,0.0,100.0,0.0,False,True
5.0,100.0,75.0,0.45,867.4464335270573,0.0,0.0,100.0,0.0,False,True
5.0,100.0,100.0,0.25,615.248018626143,0.0,0.0,100.0,0.0,False,True
5.0,100.0,100.0,0.35,741.3472260766001,0.0,0.0,100.0,0.0,False,True
5.0,100.0,100.0,0.45,867.4464335270573,0.0,0.0,100.0,0.0,False,True
5.0,100.0,125.0,0.25,615.248018626143,0.0,0.0,100.0,0.0,False,True
5.0,100.0,125.0,0.35,741.3472260766001,0.0,0.0,100.0,0.0,False,True
5.0,100.0,125.0,0.45,867.4464335270573,0.0,0.0,100.0,0.0,False,True
5.0,100.0,150.0,0.25,615.248018626143,0.0,0.0,100.0,0.0,False,True
5.0,100.0,150.0,0.35,741.3472260766001,0.0,0.0,100.0,0.0,False,True
5.0,100.0,150.0,0.45,867.4464335270573,0.0,0.0,100.0,0.0,False,True
5.0,200.0,50.0,0.25,578.7650316945848,0.0,0.0,200.0,0.0,False,True
5.0,200.0,50.0,0.35,690.2710443724187,0.0,0.0,200.0,0.0,False,True
5.0,200.0,50.0,0.45,801.7770570502526,0.0,0.0,200.0,0.0,False,True
5.0,200.0,75.0,0.25,578.7650316945848,0.0,0.0,200.0,0.0,False,True
5.0,200.0,75.0,0.35,690.2710443724187,0.0,0.0,200.0,0.0,False,True
5.0,200.0,75.0,0.45,801.7770570502526,0.0,0.0,200.0,0.0,False,True
5.0,200.0,100.0,0.25,578.7650316945848,0.0,0.0,200.0,0.0,False,True
5.0,200.0,100.0,0.35,690.2710443724187,0.0,0.0,200.0,0.0,False,True
5.0,200.0,100.0,0.45,801.7770570502526,0.0,0.0,200.0,0.0,False,True
5.0,200.0,125.0,0.25,578.7650316945848,0.0,0.0,200.0,0.0,False,True
5.0,200.0,125.0,0.35,690.2710443724187,0.0,0.0,200.0,0.0,False,True
5.0,200.0,125.0,0.45,801.7770570502526,0.0,0.0,200.0,0.0,False,True
5.0,200.0,150.0,0.25,578.7650316945848,0.0,0.0,200.0,0.0,False,True
5.0,200.0,150.0,0.35,690.2710443724187,0.0,0.0,200.0,0.0,False,True
5.0,200.0,150.0,0.45,801.7770570502526,0.0,0.0,200.0,0.0,False,True
5.0,300.0,50.0,0.25,557.6622300973203,0.0,0.0,300.0,0.0,False,True
5.0,300.0,50.0,0.35,660.7271221362483,0.0,0.0,300.0,0.0,False,True
5.0,300.0,50.0,0.45,763.7920141751765,0.0,0.0,300.0,0.0,False,True
5.0,300.0,75.0,0.25,557.6622300973203,0.0,0.0,300.0,0.0,False,True
5.0,300.0,75.0,0.35,660.7271221362483,0.0,0.0,300.0,0.0,False,True
5.0,300.0,75.0,0.45,763.7920141751765,0.0,0.0,300.0,0.0,False,True
5.0,300.0,100.0,0.25,557.6622300973203,0.0,0.0,300.0,0.0,False,True
5.0,300.0,100.0,0.35,660.7271221362483,0.0,0.0,300.0,0.0,False,True
5.0,300.0,100.0,0.45,763.7920141751765,0.0,0.0,300.0,0.0,False,True
5.0,300.0,125.0,0.25,557.6622300973203,0.0,0.0,300.0,0.0,False,True
5.0,300.0,125.0,0.35,660.7271221362483,0.0,0.0,300.0,0.0,False,True
5.0,300.0,125.0,0.45,763.7920141751765,0.0,0.0,300.0,0.0,False,True
5.0,300.0,150.0,0.25,557.6622300973203,0.0,0.0,300.0,0.0,False,True
5.0,300.0,150.0,0.35,660.7271221362483,0.0,0.0,300.0,0.0,False,True
5.0,300.0,150.0,0.45,763.7920141751765,0.0,0.0,300.0,0.0,False,True
5.0,400.0,50.0,0.25,542.8361384875044,0.0,0.0,400.0,0.0,False,True
5.0,400.0,50.0,0.35,639.9705938825061,0.0,0.0,400.0,0.0,False,True
5.0,400.0,50.0,0.45,737.105049277508,0.0,0.0,400.0,0.0,False,True
5.0,400.0,75.0,0.25,542.8361384875044,0.0,0.0,400.0,0.0,False,True
5.0,400.0,75.0,0.35,639.9705938825061,0.0,0.0,400.0,0.0,False,True
5.0,400.0,75.0,0.45,737.105049277508,0.0,0.0,400.0,0.0,False,True
5.0,400.0,100.0,0.25,542.8361384875044,0.0,0.0,400.0,0.0,False,True
5.0,400.0,100.0,0.35,639.9705938825061,0.0,0.0,400.0,0.0,False,True
5.0,400.0,100.0,0.45,737.105049277508,0.0,0.0,400.0,0.0,False,True
5.0,400.0,125.0,0.25,542.8361384875044,0.0,0.0,400.0,0.0,False,True
5.0,400.0,125.0,0.35,639.9705938825061,0.0,0.0,400.0,0.0,False,True
5.0,400.0,125.0,0.45,737.105049277508,0.0,0.0,400.0,0.0,False,True
5.0,400.0,150.0,0.25,542.8361384875044,0.0,0.0,400.0,0.0,False,True
5.0,400.0,150.0,0.35,639.9705938825061,0.0,0.0,400.0,0.0,False,True
5.0,400.0,150.0,0.45,737.105049277508,0.0,0.0,400.0,0.0,False,True
10.0,100.0,50.0,0.25,930.4960372522859,0.0,0.0,100.0,0.0,False,True
10.0,100.0,50.0,0.35,1182.6944521532002,0.0,0.0,100.0,0.0,False,True
10.0,100.0,50.0,0.45,1434.8928670541145,0.0,0.0,100.0,0.0,False,True
10.0,100.0,75.0,0.25,930.4960372522859,0.0,0.0,100.0,0.0,False,True
10.0,100.0,75.0,0.35,1182.6944521532002,0.0,0.0,100.0,0.0,False,True
10.0,100.0,75.0,0.45,1434.8928670541145,0.0,0.0,100.0,0.0,False,True
10.0,100.0,100.0,0.25,930.4960372522859,0.0,0.0,100.0,0.0,False,True
10.0,100.0,100.0,0.35,1182.6944521532002,0.0,0.0,100.0,0.0,False,True
10.0,100.0,100.0,0.45,1434.8928670541145,0.0,0.0,100.0,0.0,False,True
10.0,100.0,125.0,0.25,930.4960372522859,0.0,0.0,100.0,0.0,False,True
10.0,100.0,125.0,0.35,1182.6944521532002,0.0,0.0,100.0,0.0,False,True
10.0,100.0,125.0,0.45,1434.8928670541145,0.0,0.0,100.0,0.0,False,True
10.0,100.0,150.0,0.25,930.4960372522859,0.0,0.0,100.0,0.0,False,True
10.0,100.0,150.0,0.35,1182.6944521532002,0.0,0.0,100.0,0.0,False,True
10.0,100.0,150.0,0.45,1434.8928670541145,0.0,0.0,100.0,0.0,False,True
10.0,200.0,50.0,0.25,857.5300633891695,0.0,0.0,200.0,0.0,False,True
10.0,200.0,50.0,0.35,1080.5420887448374,0.0,0.0,200.0,0.0,False,True
10.0,200.0,50.0,0.45,1303.554114100505,0.0,0.0,200.0,0.0,False,True
10.0,200.0,75.0,0.25,857.5300633891695,0.0,0.0,200.0,0.0,False,True
10.0,200.0,75.0,0.35,1080.5420887448374,0.0,0.0,200.0,0.0,False,True
10.0,200.0,75.0,0.45,1303.554114100505,0.0,0.0,200.0,0.0,False,True
10.0,200.0,100.0,0.25,857.5300633891695,0.0,0.0,200.0,0.0,False,True
10.0,200.0,100.0,0.35,1080.5420887448374,0.0,0.0,200.0,0.0,False,True
10.0,200.0,100.0,0.45,1303.554114100505,0.0,0.0,200.0,0.0,False,True
10.0,200.0,125.0,0.25,857.5300633891695,0.0,0.0,200.0,0.0,False,True
10.0,200.0,125.0,0.35,1080.5420887448374,0.0,0.0,200.0,0.0,False,True
10.0,200.0,125.0,0.45,1303.554114100505,0.0,0.0,200.0,0.0,False,True
10.0,200.0,150.0,0.25,857.5300633891695,0.0,0.0,200.0,0.0,False,True
10.0,200.0,150.0,0.35,1080.5420887448374,0.0,0.0,200.0,0.0,False,True
10.0,200.0,150.0,0.45,1303.554114100505,0.0,0.0,200.0,0.0,False,True
10.0,300.0,50.0,0.25,815.3244601946406,0.0,0.0,300.0,0.0,False,True
10.0,300.0,50.0,0.35,1021.4542442724967,0.0,0.0,300.0,0.0,False,True
10.0,300.0,50.0,0.45,1227.584028350353,0.0,0.0,300.0,0.0,False,True
