wafer_um,pulse_regime,duty_cycle,plasma_s,groove_depth_um,groove_width_um,HAZ_depth_um,plasma_depth_um,total_depth_um,fully_diced,street_width_um,final_AR,die_strength_MPa,delamination_risk,lowk_damage_nm,throughput_mm2_s
25,ns,1.0,450.0,0.952,19.878,15.952,21.523,22.475,False,20.722,1.13,160.4,0.3625,21.4,1.325
25,ns,0.2,450.0,0.952,19.878,15.952,8.422,9.374,False,19.944,0.47,160.2,0.3554,8.0,1.325
25,ps,1.0,450.0,0.443,17.422,2.243,21.39,21.833,False,18.26,1.25,416.3,0.0314,21.4,1.325
25,ps,0.2,450.0,0.443,17.422,2.243,8.402,8.845,False,17.488,0.51,410.7,0.0243,8.0,1.325
25,fs,1.0,450.0,0.219,19.362,0.444,21.498,21.717,False,20.204,1.12,961.2,0.013,21.4,1.325
25,fs,0.2,450.0,0.219,19.362,0.444,8.418,8.637,False,19.428,0.45,953.3,0.0059,8.0,1.325
50,ns,1.0,900.0,0.952,19.878,15.952,41.203,42.155,False,21.494,2.12,160.4,0.3625,21.4,0.7188
50,ns,0.2,900.0,0.952,19.878,15.952,16.562,17.514,False,20.008,0.88,160.4,0.3554,8.0,0.7188
50,ps,1.0,900.0,0.443,17.422,2.243,40.702,41.145,False,19.018,2.36,421.5,0.0314,21.4,0.7188
50,ps,0.2,900.0,0.443,17.422,2.243,16.484,16.927,False,17.552,0.97,411.2,0.0243,8.0,0.7188
50,fs,1.0,900.0,0.219,19.362,0.444,41.108,41.327,False,20.974,2.13,961.2,0.013,21.4,0.7188
50,fs,0.2,900.0,0.219,19.362,0.444,16.548,16.767,False,19.492,0.87,954.2,0.0059,8.0,0.7188
75,ns,1.0,1350.0,0.952,19.878,15.952,59.196,60.148,False,22.198,3.03,160.4,0.3625,21.4,0.4932
75,ns,0.2,1350.0,0.952,19.878,15.952,24.43,25.382,False,20.07,1.28,160.4,0.3554,8.0,0.4932
75,ps,1.0,1350.0,0.443,17.422,2.243,58.137,58.58,False,19.7,3.36,425.8,0.0314,21.4,0.4932
75,ps,0.2,1350.0,0.443,17.422,2.243,24.258,24.701,False,17.612,1.42,411.6,0.0243,8.0,0.4932
75,fs,1.0,1350.0,0.219,19.362,0.444,58.994,59.213,False,21.674,3.06,961.2,0.013,21.4,0.4932
